rho,H2_Tank_t,H2_Tank_kg,EV_Obj,EV_Gap_pct,EV_Time_s,EV_BESS_P_MW,EV_BESS_E_MWh,EV_ELC_MW,EV_FC_MW,TSSP_Obj,TSSP_Gap_pct,TSSP_Time_s,TSSP_BESS_P_MW,TSSP_BESS_E_MWh,TSSP_ELC_MW,TSSP_FC_MW
-0.2,200.0,200000.0,-2643528.3599057067,0.0188582052308313,28.52279257774353,5907.756694229212,32331.20466939172,29894.941975836355,3638.335892944742,-2690078.208919019,0.0325857805739329,14404.352715730667,5561.644323825332,21061.61737182928,31415.831018208864,4050.227772069881
-0.2,200.0,200000.0,-2643528.3599057067,0.0188582052308313,137.64138889312744,5907.756694229212,32331.20466939172,29894.941975836355,3638.335892944742,-2688741.604222955,0.030471053677493,14405.87094950676,5743.281707617,21629.19699849518,31315.00059265881,4020.69706118694
-0.2,400.0,400000.0,-2822461.9793582554,0.019946514301363592,94.80061459541321,5428.247235436475,18013.02068435976,31368.249526919728,3912.8442264489013,-2861145.0665960256,0.03804161347822065,14405.441918611526,5258.567384449045,16098.786090347576,31652.677014237735,3918.9103057688603
-0.2,1000.0,1000000.0,-3281655.539100318,0.019279493612441606,646.0252571105957,2725.444938962566,5450.889877925132,32344.657017528632,3519.522737068658,-3316135.1706610005,0.033672421282940075,14417.060719251633,2548.4224459742645,5096.844891948529,32168.135644907667,3467.8240400622944
-0.41,200.0,200000.0,-2643528.3599057067,0.01885820523083139,129.26211190223694,5907.756694229212,32331.20466939172,29894.941975836355,3638.335892944742,-2688278.3830215866,0.03336495351957179,14418.047129631042,5540.099229823438,22254.830713238774,31267.808620246982,4006.875712266832
-0.41,400.0,400000.0,-2822461.9793582554,0.019946514301363592,161.32178020477295,5428.247235436475,18013.02068435976,31368.249526919728,3912.8442264489013,-2861789.2057168027,0.04045652581364031,16176.182225227356,5527.046937452378,17114.524114814947,31518.598193478232,3879.6419711389362
